我的专属,#genre#
CCTV1HD,http://121.224.185.7:8887/rtp/239.49.8.19:9614
CCTV2HD,http://121.224.185.7:8887/udp/239.49.8.50:9802
CCTV3HD,http://121.224.185.7:8887/rtp/239.49.8.74:8000
CCTV4HD,http://121.224.185.7:8887/udp/239.49.8.51:9806
CCTV5HD,http://121.224.185.7:8887/udp/239.49.8.75:8000
CCTV6HD,http://121.224.185.7:8887/udp/239.49.8.76:8000
CCTV7HD,http://121.224.185.7:8887/udp/239.49.8.126:8000
CCTV8HD,http://121.224.185.7:8887/udp/239.49.8.77:8000
CCTV9HD,http://121.224.185.7:8887/udp/239.49.8.53:9814
CCTV10HD,http://121.224.185.7:8887/udp/239.49.8.54:9818
CCTV11HD,http://121.224.185.7:8887/udp/239.49.0.11:8080
CCTV12HD,http://121.224.185.7:8887/udp/239.49.8.55:9822
CCTV13HD,http://121.224.185.7:8887/rtp/239.49.8.109:8000
CCTV14HD,http://121.224.185.7:8887/udp/239.49.0.14:8104
CCTV15HD,http://121.224.185.7:8887/udp/239.49.0.15:8112
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
江苏卫视HD,http://121.224.185.7:8887/udp/239.49.8.16:9602
浙江卫视HD,http://121.224.185.7:8887/udp/239.49.8.20:9618
东方卫视HD,http://121.224.185.7:8887/udp/239.49.8.17:9606
北京卫视HD,http://121.224.185.7:8887/udp/239.49.8.11:9414
湖南卫视,http://121.224.185.7:8887/udp/239.49.8.12:9418
湖南卫视,http://121.224.185.7:8887/rtp/239.49.0.54:8424
云南卫视,http://121.224.185.7:8887/udp/239.49.0.147:8000
兵团卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
