咪咕,#genre#
CCTV1综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv1
CCTV2财经,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv2
CCTV3综艺,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv3
CCTV4中文国际,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv4
CCTV4美洲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv4a
CCTV4欧洲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv4o
CCTV5体育,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv5
CCTV5+体育赛事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv5p
CCTV6电影,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv6
CCTV7国防军事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv7
CCTV8电视剧,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv8
CCTV9纪录,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv9
CCTV10科教,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv10
CCTV11戏曲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv11
CCTV12社会与法,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv12
CCTV13新闻,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv13
CCTV14少儿,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv14
CCTV15音乐,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv15
苏州新闻综合,http://tylive.kan0512.com/norecord/norecord_csztv1.m3u8
苏州社会经济,http://tylive.kan0512.com/norecord/norecord_csztv2.m3u8
苏州文化生活,http://tylive.kan0512.com/norecord/norecord_csztv3.m3u8
苏州生活资讯,http://tylive.kan0512.com/norecord/norecord_csztv5.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
江苏卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsws
北京卫视,http://yun.jinsome.com:8686/rtp/239.3.1.241:8000
浙江卫视,http://yun.jinsome.com:8686/rtp/239.3.1.137:8036
东方卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dfws
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0&cdn=5202



